Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
26-Feb-13,United States,SAILS,"$19,374.00",,,,,,,
27-Feb-13,United States,RESISTORS,"$205,324.14",,,,,,,
28-Feb-13,United States,SAILS,"$1,349.20",,,,,,,
28-Feb-13,United States,TORTUGA RUM CAKES,"$62,488.00",,,,,,,
04-Mar-13,Canada,FRESH  PRODUCE ,"$2,290.00",,,,,,,
04-Mar-13,Canada,CUT FLOWERS,$673.00,,,,,,,
04-Mar-13,Canada,CUT FLOWERS,$865.00,,,,,,,
05-Mar-13,United States,SAILS,"$5,976.00",,,,,,,
05-Mar-13,United States,SAILS,"$4,392.04",,,,,,,
05-Mar-13,United States,SAILS,"$5,568.00",,,,,,,
05-Mar-13,United States,SAILS,"$10,777.94",,,,,,,
05-Mar-13,United States,RESISTORS,"$270,703.78",,,,,,,
05-Mar-13,United States,SAILS,"$6,040.00",,,,,,,
05-Mar-13,United States,RUM,"$369,736.92",,,,,,,
05-Mar-13,United States,RUM,"$209,730.06",,,,,,,
05-Mar-13,Canada,SAILS,"$1,414.00",,,,,,,
05-Mar-13,Canada,RESISTORS,$6.00,,,,,,,
05-Mar-13,Canada,RESISTORS,"$3,848.40",,,,,,,
06-Mar-13,United States,KOLA TONIC,"$45,036.00",,,,,,,
06-Mar-13,United States,RUM,"$59,935.88",,,,,,,
06-Mar-13,United States,RUM,"$60,286.66",,,,,,,
06-Mar-13,United States,RUM,"$265,731.04",,,,,,,
06-Mar-13,United States,RUM,"$59,574.94",,,,,,,
06-Mar-13,United States,RUM,"$118,080.28",,,,,,,
06-Mar-13,Canada,RUM,"$110,880.00",,,,,,,
06-Mar-13,Canada,RUM,"$625,776.26",,,,,,,
06-Mar-13,Canada,RUM,"$241,281.54",,,,,,,
06-Mar-13,Canada,RUM,"$120,711.04",,,,,,,
07-Mar-13,United States,TORTUGA RUM CAKES,"$101,864.00",,,,,,,
08-Mar-13,United States,USED VEGETABLE OIL,"$1,200.00",,,,,,,
08-Mar-13,United States,RUM,"$511,200.12",,,,,,,
08-Mar-13,Canada,RUM,"$96,330.24",,,,,,,
08-Mar-13,Canada,RUM,"$43,187.76",,,,,,,
11-Mar-13,United States,RUM,"$118,674.76",,,,,,,
11-Mar-13,Canada,RUM,"$240,431.62",,,,,,,
11-Mar-13,Canada,CUT FLOWERS,$882.00,,,,,,,
11-Mar-13,Canada,CUT FLOWERS,"$1,095.00",,,,,,,
12-Mar-13,United States,RESISTORS,$359.14,,,,,,,
12-Mar-13,United States,SAILS,"$4,138.00",,,,,,,
